Key,Type,Default,Min,Max,AllowedValues,Unit,Notes
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Fc/Value,FLOAT,1000,10,24675,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/XOver/XOver-{0:1}/Slope/Value,FLOAT,24,6,48,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Type/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Fc/Value,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Gain/Value,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Q/Value,FLOAT,1.4,0.1,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/IIR/IIR-{0:15}/Slope/Value,FLOAT,0.5,0.25,1.25,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/Threshold/Value,FLOAT,3500,40,7000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/AttackTime/Value,FLOAT,2,0.1,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/ReleaseTime/Value,FLOAT,4,0.2,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/TruePowerLimiter/HoldTime/Value,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/Threshold/Value,FLOAT,80,0.1,80,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/AttackTime/Value,FLOAT,1,0.01,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/ReleaseTime/Value,FLOAT,4,0.01,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/HoldTime/Value,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/Threshold/Value,FLOAT,10,0.1,150,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/AttackTime/Value,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/ReleaseTime/Value,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/HoldTime/Value,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/Threshold/Value,FLOAT,80,10,400,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/AttackTime/Value,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/ReleaseTime/Value,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/HoldTime/Value,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/Threshold/Value,FLOAT,150,10,300,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/AttackTime/Value,FLOAT,0.2,0.01,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/ReleaseTime/Value,FLOAT,0.8,0.01,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/HoldTime/Value,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Type/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Fc/Value,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Gain/Value,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Q/Value,FLOAT,1.4,0.1,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Slope/Value,FLOAT,0.5,0.25,1.25,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/SoftKnee/Threshold/Value,FLOAT,0.7079457843841379,0.5011872336272722,1,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/SoftKnee/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/Threshold/Value,FLOAT,200,10,380,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/AttackTime/Value,FLOAT,0.002,0.0003,2,,Seconds,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/ReleaseTime/Value,FLOAT,0.032,0.003,8,,Seconds,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/HoldTime/Value,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Type/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Fc/Value,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Gain/Value,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Q/Value,FLOAT,1.4,0.1,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Slope/Value,FLOAT,0.5,0.25,1.25,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/SoftKnee/Threshold/Value,FLOAT,0.7079457843841379,0.5011872336272722,1,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/SoftKnee/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/FilterType/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Fc/Value,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/MinGain/Value,FLOAT,-1,-25,-1,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Q/Value,FLOAT,1.4,0.1,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Slope/Value,FLOAT,12,6,24,,,
