template,suggestedKey
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-0/Enable","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-0_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-0/Fc/Value","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-0_FC_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-0/Gain/Value","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-0_GAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-0/Q/Value","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-0_Q_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-0/Slope/Value","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-0_SLOPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-0/Type/Value","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-0_TYPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/ReleaseTime/Value","OUTPUT_CHANNEL_PEAK_LIMITER_RELEASETIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/SoftKnee/Enable","OUTPUT_CHANNEL_PEAK_LIMITER_SOFTKNEE_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/SoftKnee/Threshold/Value","OUTPUT_CHANNEL_PEAK_LIMITER_SOFTKNEE_THRESHOLD_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/Threshold/Value","OUTPUT_CHANNEL_PEAK_LIMITER_THRESHOLD_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PilotTone/Enable/Value","OUTPUT_CHANNEL_PILOTTONE_ENABLE_VALUE"
